
66.249.73.170 - - [14/Sep/2016:21:35:59 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.174 - - [15/Sep/2016:00:32:39 +0300] "GET /robots.txt HTTP/1.1" 404 463 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.174 - - [15/Sep/2016:00:32:40 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.178 - - [15/Sep/2016:03:05:02 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.170 - - [15/Sep/2016:07:01:09 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.170 - - [15/Sep/2016:09:23:04 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.170 - - [15/Sep/2016:12:59:40 +0300] "GET /robots.txt HTTP/1.1" 404 463 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.73.170 - - [15/Sep/2016:12:59:40 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.69 - - [15/Sep/2016:18:37:33 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.50 - - [15/Sep/2016:20:54:53 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [15/Sep/2016:23:18:28 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [16/Sep/2016:03:44:02 +0300] "GET /robots.txt HTTP/1.1" 404 463 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.50 - - [16/Sep/2016:03:44:02 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.48 - - [16/Sep/2016:03:50:55 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.50 - - [16/Sep/2016:05:19:32 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.116 - - [16/Sep/2016:08:01:10 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [16/Sep/2016:09:44:01 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
69.64.46.201 - - [16/Sep/2016:11:22:51 +0300] "GET / HTTP/1.1" 403 464 "-" "wscheck.com/1.0.0 (+http://wscheck.com/)"
66.249.76.49 - - [16/Sep/2016:13:16:43 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [16/Sep/2016:16:37:23 +0300] "GET /robots.txt HTTP/1.1" 404 463 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [16/Sep/2016:16:37:23 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [16/Sep/2016:18:32:28 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.120 - - [16/Sep/2016:21:38:22 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.76.49 - - [17/Sep/2016:01:45:04 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.118 - - [17/Sep/2016:04:12:59 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
123.125.71.50 - - [17/Sep/2016:08:26:01 +0300] "GET /favicon.ico HTTP/1.1" 404 464 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.76.49 - - [17/Sep/2016:10:25:32 +0300] "GET /robots.txt HTTP/1.1" 404 463 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.116 - - [17/Sep/2016:10:25:32 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
220.181.108.185 - - [17/Sep/2016:12:05:53 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
66.249.76.48 - - [17/Sep/2016:13:14:47 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
62.210.80.20 - - [17/Sep/2016:14:07:11 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10"
62.210.80.20 - - [17/Sep/2016:14:07:11 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10"
62.210.80.20 - - [17/Sep/2016:14:07:11 +0300] "GET / HTTP/1.1" 403 464 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10"
